Music percentage,Speech percentage
81.137,18.863
2.3411,97.659
52.843,47.157
100,0
92.977,7.0234
99.331,0.6689
83.211,16.789
27.559,72.441
96.789,3.2107
97.258,2.7425
57.391,42.609
100,0
72.107,27.893
63.545,36.455
30.569,69.431
1.806,98.194
74.047,25.953
69.097,30.903
0.53512,99.465
85.485,14.515
18.729,81.271
