Music percentage,Speech percentage
1.6722,98.328
1.4047,98.595
59.465,40.535
24.548,75.452
46.555,53.445
5.8194,94.181
26.421,73.579
2.7425,97.258
20.134,79.866
37.057,62.943
8.2943,91.706
7.9599,92.04
4.9498,95.05
21.672,78.328
0.46823,99.532
7.6923,92.308
1.204,98.796
2.408,97.592
5.5518,94.448
98.328,1.6722
