17.wav
0,0.77258,2
0.77258,0.010033,1
0.78261,1.8161,2
2.5987,0.13043,2
2.7291,0.1204,1
2.8495,0.010033,2
2.8595,0.16054,1
3.0201,0.060201,2
3.0803,0.10033,1
3.1806,0.11037,2
3.291,0.020067,1
3.311,0.040134,2
3.3512,0.020067,1
3.3712,0.060201,2
3.4314,0.090301,1
3.5217,0.1204,2
3.6421,0.010033,1
3.6522,0.080268,2
3.7324,0.040134,1
3.7726,0.070234,2
3.8428,0.1505,1
3.9933,0.040134,2
4.0334,0.060201,1
4.0936,0.060201,2
4.1538,0.080268,2
4.2341,0.010033,1
4.2441,0.080268,2
4.3244,0.040134,1
4.3645,0.060201,2
4.4247,0.040134,1
4.4649,0.060201,2
4.5251,0.050167,1
4.5753,0.050167,2
4.6254,0.1806,1
4.806,0.010033,2
4.8161,0.060201,1
4.8763,0.10033,2
4.9766,0.080268,1
5.0569,0.020067,2
5.0769,0.2107,1
5.2876,0.010033,2
5.2977,0.060201,1
5.3579,0.010033,2
5.3679,0.050167,1
5.4181,0.050167,2
5.4682,0.020067,1
5.4883,2.2575,2
7.7458,0.10033,1
7.8462,0.040134,2
7.8863,0.020067,1
7.9064,0.4214,2
8.3278,0.060201,1
8.388,0.2709,2
8.6589,0.050167,1
8.709,0.020067,2
8.7291,0.2408,1
8.9699,1.4348,2
10.405,0.17057,1
10.575,0.010033,2
10.585,0.1204,1
10.706,0.55184,2
11.258,0.040134,1
11.298,0.080268,2
11.378,0.3612,1
11.739,0.79264,2
12.532,0.070234,1
12.602,0.34114,2
12.943,0.48161,2
13.425,0.060201,1
13.485,1.495,2
14.98,0,2
